F1,F2,F3,F4,F5,F6,F7,F8,Clear,NIR,x,y
16,26,41,62,167,136,145,56,402,77,0,1
16,26,41,62,167,136,145,56,402,77,0,2
16,26,41,62,167,136,145,56,402,77,0,3
16,26,41,62,167,136,145,56,402,77,0,4
16,26,41,62,167,136,145,56,402,77,0,5
16,26,41,62,167,136,145,56,402,77,0,6
16,26,41,62,167,136,145,56,402,77,0,7
16,26,41,62,167,136,145,56,402,77,0,8
16,26,41,62,167,136,145,56,402,77,1,0
16,26,41,62,167,136,145,56,402,77,2,0
16,26,41,62,167,136,145,56,402,77,3,0
16,26,41,62,167,136,145,56,402,77,4,0
16,26,41,62,167,136,145,56,402,77,5,0
16,26,41,62,167,136,145,56,402,77,6,0
16,26,41,62,167,136,145,56,402,77,7,0
16,26,41,62,167,136,145,56,402,77,8,0
