positionX,positionY,sample_id,7C:10:C9:B7:59:5C,EC:58:EA:19:10:B8,EC:58:EA:19:10:BC,EC:58:EA:59:10:BC,EC:58:EA:99:00:78,EC:58:EA:99:10:BC
0.0,0.0,0,-80.0,-52.0,-52.0,-52.0,-56.0,-52.0
1.0,0.0,1,-82.0,-54.0,-54.0,-54.0,-58.0,-54.0
2.0,0.0,2,-84.0,-56.0,-56.0,-56.0,-60.0,-56.0
3.0,0.0,3,-86.0,-58.0,-58.0,-58.0,-62.0,-58.0
4.0,0.0,4,-88.0,-60.0,-60.0,-60.0,-64.0,-60.0
5.0,0.0,5,-90.0,-62.0,-62.0,-62.0,-66.0,-62.0
6.0,0.0,6,-92.0,-64.0,-64.0,-64.0,-68.0,-64.0
7.0,0.0,7,-94.0,-66.0,-66.0,-66.0,-70.0,-66.0
8.0,0.0,8,-96.0,-68.0,-68.0,-68.0,-72.0,-68.0
0.0,1.0,9,-78.0,-50.0,-50.0,-50.0,-54.0,-50.0
0.0,2.0,10,-76.0,-48.0,-48.0,-48.0,-52.0,-48.0
0.0,3.0,11,-74.0,-46.0,-46.0,-46.0,-50.0,-46.0
0.0,4.0,12,-72.0,-44.0,-44.0,-44.0,-48.0,-44.0
0.0,5.0,13,-70.0,-42.0,-42.0,-42.0,-46.0,-42.0
0.0,6.0,14,-68.0,-40.0,-40.0,-40.0,-44.0,-40.0
0.0,7.0,15,-66.0,-38.0,-38.0,-38.0,-42.0,-38.0
0.0,8.0,16,-64.0,-36.0,-36.0,-36.0,-40.0,-36.0
